,labels,directory
0,1,dataset\IsolatedTest\1\bcc000000.bmp
28,1,dataset\IsolatedTest\1\bcc000028.bmp
29,1,dataset\IsolatedTest\1\bcc000029.bmp
30,1,dataset\IsolatedTest\1\bcc000030.bmp
31,1,dataset\IsolatedTest\1\bcc000031.bmp
32,1,dataset\IsolatedTest\1\bcc000032.bmp
33,1,dataset\IsolatedTest\1\bcc000033.bmp
34,1,dataset\IsolatedTest\1\bcc000034.bmp
35,1,dataset\IsolatedTest\1\bcc000035.bmp
37,1,dataset\IsolatedTest\1\bcc000037.bmp
38,1,dataset\IsolatedTest\1\bcc000038.bmp
39,1,dataset\IsolatedTest\1\bcc000039.bmp
40,1,dataset\IsolatedTest\1\bcc000040.bmp
41,1,dataset\IsolatedTest\1\bcc000041.bmp
42,1,dataset\IsolatedTest\1\bcc000042.bmp
43,1,dataset\IsolatedTest\1\bcc000043.bmp
44,1,dataset\IsolatedTest\1\bcc000044.bmp
45,1,dataset\IsolatedTest\1\bcc000045.bmp
46,1,dataset\IsolatedTest\1\bcc000046.bmp
47,1,dataset\IsolatedTest\1\bcc000047.bmp
48,1,dataset\IsolatedTest\1\bcc000048.bmp
49,1,dataset\IsolatedTest\1\bcc000049.bmp
50,1,dataset\IsolatedTest\1\bcc000050.bmp
51,1,dataset\IsolatedTest\1\bcc000051.bmp
27,1,dataset\IsolatedTest\1\bcc000027.bmp
26,1,dataset\IsolatedTest\1\bcc000026.bmp
36,1,dataset\IsolatedTest\1\bcc000036.bmp
24,1,dataset\IsolatedTest\1\bcc000024.bmp
1,1,dataset\IsolatedTest\1\bcc000001.bmp
2,1,dataset\IsolatedTest\1\bcc000002.bmp
25,1,dataset\IsolatedTest\1\bcc000025.bmp
4,1,dataset\IsolatedTest\1\bcc000004.bmp
5,1,dataset\IsolatedTest\1\bcc000005.bmp
6,1,dataset\IsolatedTest\1\bcc000006.bmp
7,1,dataset\IsolatedTest\1\bcc000007.bmp
8,1,dataset\IsolatedTest\1\bcc000008.bmp
9,1,dataset\IsolatedTest\1\bcc000009.bmp
10,1,dataset\IsolatedTest\1\bcc000010.bmp
11,1,dataset\IsolatedTest\1\bcc000011.bmp
12,1,dataset\IsolatedTest\1\bcc000012.bmp
3,1,dataset\IsolatedTest\1\bcc000003.bmp
14,1,dataset\IsolatedTest\1\bcc000014.bmp
13,1,dataset\IsolatedTest\1\bcc000013.bmp
23,1,dataset\IsolatedTest\1\bcc000023.bmp
21,1,dataset\IsolatedTest\1\bcc000021.bmp
20,1,dataset\IsolatedTest\1\bcc000020.bmp
19,1,dataset\IsolatedTest\1\bcc000019.bmp
22,1,dataset\IsolatedTest\1\bcc000022.bmp
17,1,dataset\IsolatedTest\1\bcc000017.bmp
16,1,dataset\IsolatedTest\1\bcc000016.bmp
15,1,dataset\IsolatedTest\1\bcc000015.bmp
18,1,dataset\IsolatedTest\1\bcc000018.bmp
4104,2,dataset\IsolatedTest\2\bcc000011.bmp
4111,2,dataset\IsolatedTest\2\bcc000018.bmp
4110,2,dataset\IsolatedTest\2\bcc000017.bmp
4109,2,dataset\IsolatedTest\2\bcc000016.bmp
4108,2,dataset\IsolatedTest\2\bcc000015.bmp
4107,2,dataset\IsolatedTest\2\bcc000014.bmp
4106,2,dataset\IsolatedTest\2\bcc000013.bmp
4105,2,dataset\IsolatedTest\2\bcc000012.bmp
4103,2,dataset\IsolatedTest\2\bcc000010.bmp
4097,2,dataset\IsolatedTest\2\bcc000004.bmp
4101,2,dataset\IsolatedTest\2\bcc000008.bmp
4100,2,dataset\IsolatedTest\2\bcc000007.bmp
4099,2,dataset\IsolatedTest\2\bcc000006.bmp
4098,2,dataset\IsolatedTest\2\bcc000005.bmp
4096,2,dataset\IsolatedTest\2\bcc000003.bmp
4095,2,dataset\IsolatedTest\2\bcc000002.bmp
4094,2,dataset\IsolatedTest\2\bcc000001.bmp
4093,2,dataset\IsolatedTest\2\bcc000000.bmp
4112,2,dataset\IsolatedTest\2\bcc000019.bmp
4102,2,dataset\IsolatedTest\2\bcc000009.bmp
4113,2,dataset\IsolatedTest\2\bcc000020.bmp
4128,2,dataset\IsolatedTest\2\bcc000035.bmp
4115,2,dataset\IsolatedTest\2\bcc000022.bmp
4114,2,dataset\IsolatedTest\2\bcc000021.bmp
4135,2,dataset\IsolatedTest\2\bcc000042.bmp
4134,2,dataset\IsolatedTest\2\bcc000041.bmp
4133,2,dataset\IsolatedTest\2\bcc000040.bmp
